[2026-04-01T13:01:56.779Z] ========================================
[2026-04-01T13:01:56.780Z] SHOPIFY THEME STORE SCRAPER
[2026-04-01T13:01:56.780Z] ========================================
[2026-04-01T13:01:56.780Z] Stop condition: 150+ reviews
[2026-04-01T13:01:56.780Z] Delay between requests: 5-10s
[2026-04-01T13:01:56.780Z] Log file: /Users/dario61/Desktop/shopify-theme-research/scrape_log_2026-04-01T13-01-56.txt
[2026-04-01T13:01:56.780Z] 
[2026-04-01T13:01:56.780Z] Launching browser...
[2026-04-01T13:01:58.039Z] Browser launched OK
[2026-04-01T13:01:58.184Z] User agent: Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36
[2026-04-01T13:01:58.184Z] Viewport: 1440x900
[2026-04-01T13:01:58.185Z] 
========================================
[2026-04-01T13:01:58.185Z] LISTING PAGE 1: https://themes.shopify.com/themes?sort_by=newest&page=1
[2026-04-01T13:01:58.185Z] ========================================
[2026-04-01T13:01:58.185Z] Themes collected so far: 0 | Duplicates skipped: 0 | Errors: 0
[2026-04-01T13:01:58.622Z]   [HTTP 200] https://themes.shopify.com/themes?sort_by=newest&page=1
[2026-04-01T13:01:58.658Z]   [HTTP 200] https://themes.shopify.com/cdn/shopifycloud/theme_store/assets/application-695181538c2bc32d6d28171bd0a27b372a2721dc0980d
[2026-04-01T13:01:58.667Z]   [HTTP 200] https://themes.shopify.com/cdn/shopifycloud/theme_store/bundles/assets/error-reporting-C3VU61OX.js
[2026-04-01T13:01:58.669Z]   [HTTP 200] https://themes.shopify.com/cdn/shopifycloud/theme_store/assets/rails-eea5a08ed1f5538d6feea53699204748e841ba23d0cdf4e2251
[2026-04-01T13:01:58.673Z]   [HTTP 200] https://themes.shopify.com/cdn/shopifycloud/theme_store/bundles/assets/jquery-5sAwpjfl.js
[2026-04-01T13:01:58.676Z]   [HTTP 200] https://themes.shopify.com/cdn/shopifycloud/theme_store/bundles/assets/application-DNNHlbyY.js
[2026-04-01T13:01:58.678Z]   [HTTP 200] https://themes.shopify.com/cdn/shopifycloud/theme_store/assets/inter-font-013a82a3f24b133ada787c7ed29ae12fec6fef808a104a
[2026-04-01T13:01:58.678Z]   [HTTP 200] https://themes.shopify.com/cdn/shopifycloud/theme_store/bundles/assets/themes_home_trackers-Cv6VxYgN.js
[2026-04-01T13:01:58.688Z]   [HTTP 200] https://themes.shopify.com/cdn/shopifycloud/theme_store/bundles/assets/monorail-edge-producer-M_NZMvgj.js
[2026-04-01T13:01:58.689Z]   [HTTP 200] https://themes.shopify.com/cdn/shopifycloud/theme_store/bundles/assets/bugsnag-rmHKSsQk.js
[2026-04-01T13:01:58.689Z]   [HTTP 200] https://themes.shopify.com/cdn/shopifycloud/theme_store/bundles/assets/runtime-DG0Ld3ay.js
